FID,Zone,Longitude,Latitude,Azimuth,TCD,SHAPE_Leng,SCE,NSM,EPR,EPRunc,LRR,LR2,LSE,LCI90,WLR,WR2,WSE,WCI90,SLA_Interp
0,Manda_TanaRiver,40.82362402,-2.349725562,213.62,0,2429.648488,23.96,-1.69,-0.07,0.59,-0.24,0.07,6.79,0.32,-0.162663033,0.07,0.68,0.32,1.097985168
1,Manda_TanaRiver,40.8237848,-2.349829141,213.8,25,2429.995979,21.57,-1.72,-0.07,0.59,-0.23,0.08,6.11,0.29,-0.151645617,0.08,0.61,0.29,1.097985168
2,Manda_TanaRiver,40.82394711,-2.349940554,213.95,50,2431.613519,20.2,-1.8,-0.07,0.59,-0.22,0.08,5.76,0.27,-0.149495401,0.08,0.58,0.27,1.097985168
3,Manda_TanaRiver,40.82410116,-2.350054696,214.12,75,2434.775955,20.13,-2.02,-0.08,0.59,-0.2,0.05,6.21,0.3,-0.133739545,0.05,0.62,0.3,1.097985168
4,Manda_TanaRiver,40.82357525,-2.351165951,214.32,100,2704.813605,286.75,-2.38,-0.1,0.59,1.02,0.02,56.73,2.7,0.700045748,0.02,5.67,2.7,1.086013841
5,Manda_TanaRiver,40.82373961,-2.351259924,214.49,125,2701.693711,280.31,-2.88,-0.12,0.59,0.98,0.02,55.46,2.64,0.671176028,0.02,5.55,2.64,1.086013841
6,Manda_TanaRiver,40.82391061,-2.351352364,214.64,150,2697.478795,272.03,-3.73,-0.16,0.59,0.95,0.02,53.89,2.56,0.672835798,0.02,5.39,2.56,1.086013841
7,Manda_TanaRiver,40.82408849,-2.351441573,214.77,175,2691.824021,262.14,-4.65,-0.19,0.59,0.92,0.02,51.98,2.47,0.632216686,0.02,5.2,2.47,1.086013841
8,Manda_TanaRiver,40.82425832,-2.351523667,214.96,200,2685.916487,252.43,-5.79,-0.24,0.59,0.88,0.02,50.09,2.38,0.597029531,0.02,5.01,2.38,1.086013841
9,Manda_TanaRiver,40.82443199,-2.351605092,215.13,225,2679.411686,242,-6.32,-0.26,0.59,0.85,0.02,48.03,2.28,0.565868027,0.02,4.8,2.28,1.086013841
10,Manda_TanaRiver,40.82460994,-2.351687047,215.28,250,2671.13487,229.98,-6.86,-0.29,0.59,0.79,0.02,45.7,2.17,0.53665976,0.02,4.57,2.17,1.086013841
11,Manda_TanaRiver,40.82475816,-2.35176313,215.57,275,2665.653706,221.82,-6.9,-0.29,0.59,0.76,0.02,44.11,2.1,0.514658835,0.02,4.41,2.1,1.086013841
12,Manda_TanaRiver,40.82490781,-2.351837656,215.85,300,2659.77526,213.21,-6.65,-0.28,0.59,0.73,0.02,42.41,2.02,0.497796629,0.02,4.24,2.02,1.086013841
13,Manda_TanaRiver,40.82505726,-2.351912887,216.14,325,2653.542009,204.26,-6.12,-0.26,0.59,0.71,0.02,40.65,1.93,0.483484057,0.02,4.06,1.93,1.086013841
14,Manda_TanaRiver,40.82520513,-2.351989052,216.43,350,2647.174477,195.41,-5.59,-0.23,0.59,0.68,0.02,38.91,1.85,0.4478648,0.02,3.89,1.85,1.066573311
15,Manda_TanaRiver,40.82536166,-2.352066479,216.69,375,2639.949512,185.31,-4.99,-0.21,0.59,0.65,0.02,36.89,1.75,0.435259925,0.02,3.69,1.75,1.066573311
16,Manda_TanaRiver,40.82552142,-2.352140071,216.95,400,2631.668857,174.11,-4.57,-0.19,0.59,0.61,0.02,34.62,1.65,0.432563787,0.02,3.46,1.65,1.066573311
17,Manda_TanaRiver,40.82567249,-2.352212166,217.24,425,2624.344024,164.14,-4.21,-0.18,0.59,0.57,0.02,32.59,1.55,0.394782702,0.02,3.26,1.55,1.066573311
18,Manda_TanaRiver,40.82581622,-2.352283735,217.57,450,2616.956632,154.81,-3.88,-0.16,0.59,0.54,0.02,30.68,1.46,0.352988778,0.02,3.07,1.46,1.066573311
19,Manda_TanaRiver,40.82595665,-2.352353528,217.92,475,2609.680425,145.74,-3.63,-0.15,0.59,0.5,0.02,28.82,1.37,0.349832272,0.02,2.88,1.37,1.066573311
20,Manda_TanaRiver,40.82611681,-2.352422936,218.19,500,2599.721183,132.84,-3.4,-0.14,0.59,0.43,0.02,26.22,1.25,0.284785574,0.02,2.62,1.25,1.066573311
21,Manda_TanaRiver,40.82627944,-2.352489905,218.46,525,2589.057929,119.18,-3.16,-0.13,0.59,0.36,0.01,23.46,1.12,0.248383659,0.01,2.35,1.12,1.066573311
22,Manda_TanaRiver,40.82643425,-2.35255717,218.77,550,2579.593054,106.97,-2.94,-0.12,0.59,0.3,0.01,21,1,0.203482089,0.01,2.1,1,1.066573311
23,Manda_TanaRiver,40.82658262,-2.352628318,219.09,575,2571.772831,96.25,-3.01,-0.13,0.59,0.25,0.01,18.83,0.89,0.175391261,0.01,1.88,0.89,1.066573311
24,Manda_TanaRiver,40.82673671,-2.352703636,219.38,600,2563.270687,84.72,-3.1,-0.13,0.59,0.18,0.01,16.49,0.78,0.126604701,0.01,1.65,0.78,1.066573311
25,Manda_TanaRiver,40.82688721,-2.352783953,219.67,625,2556.048919,74.48,-3.19,-0.13,0.59,0.13,0,14.43,0.69,0.084618149,0,1.44,0.69,1.066573311
26,Manda_TanaRiver,40.82703496,-2.352868087,219.95,650,2549.931696,65.3,-3.28,-0.14,0.59,0.08,0,12.61,0.6,0.053484636,0,1.26,0.6,1.066573311
27,Manda_TanaRiver,40.82717965,-2.352956331,220.24,675,2544.320887,56.91,-3.37,-0.14,0.59,0.03,0,10.97,0.52,0.020032128,0,1.1,0.52,1.066573311
28,Manda_TanaRiver,40.8273187,-2.353049044,220.54,700,2539.788268,49.89,-3.62,-0.15,0.59,-0.01,0,9.65,0.46,-0.006592031,0,0.97,0.46,1.066573311
29,Manda_TanaRiver,40.82745407,-2.353144818,220.84,725,2536.011089,43.79,-3.97,-0.17,0.59,-0.05,0,8.55,0.41,-0.035168577,0,0.85,0.41,1.066573311
30,Manda_TanaRiver,40.82758801,-2.35324251,221.14,750,2532.766616,38.53,-4.17,-0.17,0.59,-0.08,0.01,7.59,0.36,-0.054443429,0.01,0.76,0.36,1.047322392
31,Manda_TanaRiver,40.82771525,-2.353341285,221.47,775,2530.75713,34.66,-4.41,-0.18,0.59,-0.1,0.01,6.91,0.33,-0.067216345,0.01,0.69,0.33,1.047322392
32,Manda_TanaRiver,40.82783661,-2.353438053,221.82,800,2528.816631,31.78,-5.19,-0.22,0.59,-0.13,0.02,6.5,0.31,-0.085965483,0.02,0.65,0.31,1.047322392
33,Manda_TanaRiver,40.82795683,-2.353536289,222.17,825,2526.549005,28.9,-5.96,-0.25,0.59,-0.15,0.03,6.14,0.29,-0.100880125,0.03,0.61,0.29,1.047322392
34,Manda_TanaRiver,40.82808266,-2.353639804,222.49,850,2524.395998,26.3,-6.34,-0.26,0.59,-0.17,0.05,5.74,0.27,-0.114288876,0.05,0.57,0.27,1.047322392
35,Manda_TanaRiver,40.82819481,-2.353736105,222.88,875,2523.215683,24.8,-6.59,-0.27,0.59,-0.18,0.06,5.53,0.26,-0.125647057,0.06,0.55,0.26,1.047322392
36,Manda_TanaRiver,40.82830382,-2.35383029,223.29,900,2522.289271,23.63,-7.02,-0.29,0.59,-0.2,0.07,5.44,0.26,-0.137158948,0.07,0.54,0.26,1.047322392
37,Manda_TanaRiver,40.82841613,-2.353932501,223.66,925,2522.272197,23.53,-7.85,-0.33,0.59,-0.22,0.08,5.44,0.26,-0.148216179,0.08,0.54,0.26,1.047322392
38,Manda_TanaRiver,40.82852578,-2.354043696,224.01,950,2523.018595,24.71,-8.72,-0.36,0.59,-0.23,0.09,5.5,0.26,-0.153454361,0.09,0.55,0.26,1.035855532
39,Manda_TanaRiver,40.82863415,-2.354150189,224.38,975,2523.109576,25.21,-9.51,-0.4,0.59,-0.24,0.1,5.58,0.27,-0.162140354,0.1,0.56,0.27,1.035855532
40,Manda_TanaRiver,40.82874305,-2.354257207,224.74,1000,2523.306302,25.72,-10.32,-0.43,0.59,-0.25,0.1,5.69,0.27,-0.1735571,0.1,0.57,0.27,1.035855532
41,Manda_TanaRiver,40.82885132,-2.354364852,225.11,1025,2523.409672,26.7,-11.13,-0.46,0.59,-0.27,0.11,5.83,0.28,-0.181110909,0.11,0.58,0.28,1.035855532
42,Manda_TanaRiver,40.82895843,-2.354472972,225.48,1050,2523.361395,27.9,-12.39,-0.52,0.59,-0.29,0.12,6.1,0.29,-0.204538026,0.12,0.61,0.29,1.035855532
43,Manda_TanaRiver,40.82907178,-2.354585969,225.81,1075,2523.177398,29.11,-13.82,-0.58,0.59,-0.32,0.12,6.43,0.31,-0.222001486,0.12,0.64,0.31,1.035855532
44,Manda_TanaRiver,40.82918633,-2.354697801,226.14,1100,2522.704265,29.96,-15.1,-0.63,0.59,-0.33,0.12,6.74,0.32,-0.225554765,0.12,0.67,0.32,1.035855532
45,Manda_TanaRiver,40.82928605,-2.354800812,226.55,1125,2521.885738,30.52,-15.95,-0.66,0.59,-0.34,0.12,6.95,0.33,-0.224990278,0.12,0.7,0.33,1.035855532
46,Manda_TanaRiver,40.82938299,-2.354902341,226.98,1150,2521.092242,31.04,-16.73,-0.7,0.59,-0.35,0.12,7.15,0.34,-0.231254796,0.12,0.71,0.34,1.035855532
47,Manda_TanaRiver,40.82947996,-2.355003902,227.41,1175,2520.438844,31.57,-17.5,-0.73,0.59,-0.36,0.12,7.35,0.35,-0.250121808,0.12,0.73,0.35,1.035855532
48,Manda_TanaRiver,40.82958672,-2.355114748,227.77,1200,2519.520446,32.23,-18.53,-0.77,0.59,-0.37,0.12,7.6,0.36,-0.247070655,0.12,0.76,0.36,1.035855532
49,Manda_TanaRiver,40.82968678,-2.355221796,228.17,1225,2518.520736,32.48,-19.08,-0.79,0.59,-0.38,0.12,7.69,0.37,-0.267983032,0.12,0.77,0.37,1.035855532
50,Manda_TanaRiver,40.82978567,-2.355327791,228.57,1250,2517.68461,32.72,-19.61,-0.82,0.59,-0.38,0.12,7.77,0.37,-0.256944145,0.12,0.78,0.37,1.035855532
51,Manda_TanaRiver,40.82988793,-2.355436813,228.96,1275,2516.848132,32.99,-20.08,-0.84,0.59,-0.39,0.12,7.85,0.37,-0.270960515,0.12,0.78,0.37,1.035855532
52,Manda_TanaRiver,40.82998952,-2.355547003,229.34,1300,2515.814966,33.27,-20.44,-0.85,0.59,-0.4,0.13,7.94,0.38,-0.262539758,0.13,0.79,0.38,1.035855532
53,Manda_TanaRiver,40.83008649,-2.355653505,229.75,1325,2515.002533,33.51,-20.76,-0.86,0.59,-0.41,0.13,8.02,0.38,-0.277598927,0.13,0.8,0.38,1.017041757
54,Manda_TanaRiver,40.8301835,-2.355760044,230.16,1350,2514.318008,33.46,-20.97,-0.87,0.59,-0.41,0.13,7.98,0.38,-0.281670505,0.13,0.8,0.38,1.017041757
55,Manda_TanaRiver,40.83029061,-2.355880008,230.49,1375,2512.453694,33.26,-21.38,-0.89,0.59,-0.42,0.14,7.87,0.37,-0.281023679,0.14,0.79,0.37,1.017041757
56,Manda_TanaRiver,40.83039099,-2.355996252,230.85,1400,2511.041589,32.95,-21.45,-0.89,0.59,-0.43,0.15,7.77,0.37,-0.284579774,0.15,0.78,0.37,1.017041757
57,Manda_TanaRiver,40.83048148,-2.356105754,231.28,1425,2510.509837,32.88,-21.46,-0.89,0.59,-0.43,0.15,7.77,0.37,-0.302819007,0.15,0.78,0.37,1.017041757
58,Manda_TanaRiver,40.83057336,-2.356216744,231.69,1450,2510.077385,32.81,-21.47,-0.89,0.59,-0.44,0.15,7.77,0.37,-0.295281479,0.15,0.78,0.37,1.017041757
59,Manda_TanaRiver,40.83066937,-2.356334996,232.06,1475,2509.184461,32.36,-20.9,-0.87,0.59,-0.43,0.15,7.73,0.37,-0.284712054,0.15,0.77,0.37,1.017041757
60,Manda_TanaRiver,40.83076134,-2.356449369,232.46,1500,2508.442735,31.85,-20.29,-0.85,0.59,-0.43,0.15,7.67,0.36,-0.289046195,0.15,0.77,0.36,1.017041757
61,Manda_TanaRiver,40.83084945,-2.3565596,232.89,1525,2507.951766,31.42,-19.79,-0.82,0.59,-0.43,0.15,7.64,0.36,-0.295118089,0.15,0.76,0.36,1.017041757
62,Manda_TanaRiver,40.83093974,-2.356676653,233.28,1550,2507.635943,31.33,-19.56,-0.82,0.59,-0.44,0.15,7.72,0.37,-0.308057818,0.15,0.77,0.37,1.017041757
63,Manda_TanaRiver,40.83102925,-2.356796381,233.66,1575,2507.410936,31.5,-19.52,-0.81,0.59,-0.44,0.15,7.88,0.37,-0.299083361,0.15,0.79,0.37,1.017041757
64,Manda_TanaRiver,40.83111621,-2.356912831,234.07,1600,2507.332768,31.54,-19.26,-0.8,0.59,-0.44,0.15,7.97,0.38,-0.303042811,0.15,0.8,0.38,1.017041757
65,Manda_TanaRiver,40.83120507,-2.357034421,234.45,1625,2507.698152,31.37,-18.68,-0.78,0.59,-0.44,0.15,7.94,0.38,-0.286532442,0.15,0.79,0.38,1.017041757
66,Manda_TanaRiver,40.83129385,-2.357159777,234.81,1650,2507.695215,31.21,-18.04,-0.75,0.59,-0.43,0.15,7.92,0.38,-0.281170311,0.15,0.79,0.38,1.017041757
67,Manda_TanaRiver,40.83138076,-2.357286484,235.18,1675,2507.283839,31.04,-17.47,-0.73,0.59,-0.43,0.14,7.94,0.38,-0.282631356,0.14,0.79,0.38,1.005828282
68,Manda_TanaRiver,40.83146769,-2.357413212,235.54,1700,2506.973801,30.88,-17.24,-0.72,0.59,-0.43,0.14,8.06,0.38,-0.290669112,0.14,0.81,0.38,1.005828282
69,Manda_TanaRiver,40.83155878,-2.357548806,235.86,1725,2507.102157,30.86,-17.05,-0.71,0.59,-0.44,0.14,8.22,0.39,-0.309780969,0.14,0.82,0.39,1.005828282
70,Manda_TanaRiver,40.83163705,-2.357668938,236.28,1750,2507.272005,30.95,-17.07,-0.71,0.59,-0.44,0.14,8.37,0.4,-0.307569643,0.14,0.84,0.4,1.005828282
71,Manda_TanaRiver,40.83171138,-2.357784748,236.72,1775,2507.281466,31.02,-17.01,-0.71,0.59,-0.44,0.13,8.51,0.4,-0.297249232,0.13,0.85,0.4,1.005828282
72,Manda_TanaRiver,40.83178852,-2.357905183,237.14,1800,2507.472657,31.11,-16.68,-0.7,0.59,-0.44,0.13,8.58,0.41,-0.297876324,0.13,0.86,0.41,1.005828282
73,Manda_TanaRiver,40.83186869,-2.358030602,237.53,1825,2507.821035,31.22,-16.9,-0.7,0.59,-0.44,0.13,8.65,0.41,-0.290741408,0.13,0.87,0.41,1.005828282
74,Manda_TanaRiver,40.83194457,-2.35815055,237.95,1850,2508.082814,31.31,-17.08,-0.71,0.59,-0.45,0.13,8.74,0.42,-0.302537824,0.13,0.87,0.42,1.005828282
75,Manda_TanaRiver,40.83201595,-2.358267459,238.4,1875,2507.977747,31.32,-17.23,-0.72,0.59,-0.45,0.13,8.81,0.42,-0.297434174,0.13,0.88,0.42,1.005828282
76,Manda_TanaRiver,40.83209307,-2.358393795,238.8,1900,2508.016554,31.13,-17.44,-0.73,0.59,-0.45,0.13,8.95,0.43,-0.313257061,0.13,0.9,0.43,1.005828282
77,Manda_TanaRiver,40.83217571,-2.358530259,239.13,1925,2508.270959,31.01,-17.65,-0.74,0.59,-0.45,0.12,9.07,0.43,-0.313221305,0.12,0.91,0.43,1.005828282
78,Manda_TanaRiver,40.83225666,-2.358667711,239.46,1950,2509.046406,31.01,-17.72,-0.74,0.59,-0.44,0.12,9.1,0.43,-0.298973433,0.12,0.91,0.43,1.005828282
79,Manda_TanaRiver,40.83233486,-2.358800043,239.83,1975,2509.865602,30.96,-17.79,-0.74,0.59,-0.44,0.12,9.12,0.43,-0.301681448,0.12,0.91,0.43,1.005828282
80,Manda_TanaRiver,40.83240906,-2.358934008,240.2,2000,2509.827075,30.69,-17.66,-0.74,0.59,-0.43,0.11,9.05,0.43,-0.299221683,0.11,0.9,0.43,1.005828282
81,Manda_TanaRiver,40.83248402,-2.359074099,240.53,2025,2509.899513,30.4,-17.17,-0.72,0.59,-0.42,0.11,8.91,0.42,-0.283247419,0.11,0.89,0.42,1.005828282
82,Manda_TanaRiver,40.83255601,-2.359215865,240.87,2050,2510.819502,30.87,-16.67,-0.69,0.59,-0.42,0.12,8.78,0.42,-0.286233021,0.12,0.88,0.42,1.005828282
83,Manda_TanaRiver,40.83262563,-2.35935198,241.24,2075,2511.684084,31.28,-16.72,-0.7,0.59,-0.42,0.12,8.75,0.42,-0.293791057,0.12,0.87,0.42,0.987450174
84,Manda_TanaRiver,40.83268869,-2.359475966,241.68,2100,2512.046481,31.54,-16.79,-0.7,0.59,-0.43,0.12,8.74,0.42,-0.280689053,0.12,0.87,0.42,0.987450174
85,Manda_TanaRiver,40.83275526,-2.359610897,242.06,2125,2512.562115,31.66,-16.89,-0.7,0.59,-0.43,0.12,8.66,0.41,-0.292519397,0.12,0.87,0.41,0.987450174
86,Manda_TanaRiver,40.83282182,-2.359745792,242.44,2150,2513.187997,31.49,-16.66,-0.69,0.59,-0.44,0.13,8.49,0.4,-0.299099325,0.13,0.85,0.4,0.987450174
87,Manda_TanaRiver,40.83288825,-2.359880395,242.82,2175,2513.919496,31.31,-16.31,-0.68,0.59,-0.44,0.14,8.33,0.4,-0.301707666,0.14,0.83,0.4,0.987450174
88,Manda_TanaRiver,40.83295032,-2.360004033,243.26,2200,2514.535251,31.15,-16.07,-0.67,0.59,-0.44,0.14,8.22,0.39,-0.307931565,0.14,0.82,0.39,0.987450174
89,Manda_TanaRiver,40.83301163,-2.360128026,243.71,2225,2514.974299,30.86,-15.83,-0.66,0.59,-0.44,0.14,8.07,0.38,-0.294868064,0.14,0.81,0.38,0.987450174
90,Manda_TanaRiver,40.83308062,-2.360272415,244.04,2250,2515.457493,30.2,-15.4,-0.64,0.59,-0.44,0.15,7.78,0.37,-0.287646418,0.15,0.78,0.37,0.987450174
91,Manda_TanaRiver,40.83314856,-2.360414452,244.38,2275,2516.007868,29.58,-15,-0.62,0.59,-0.43,0.16,7.53,0.36,-0.300065421,0.16,0.75,0.36,0.987450174
92,Manda_TanaRiver,40.83321437,-2.360551653,244.75,2300,2516.621347,29.03,-14.64,-0.61,0.59,-0.43,0.16,7.33,0.35,-0.286168982,0.16,0.73,0.35,0.976491388
93,Manda_TanaRiver,40.83327908,-2.360689331,245.12,2325,2517.073341,28.48,-14.48,-0.6,0.59,-0.43,0.17,7.18,0.34,-0.281837737,0.17,0.72,0.34,0.976491388
94,Manda_TanaRiver,40.83334338,-2.360834885,245.46,2350,2516.857439,27.84,-14.26,-0.59,0.59,-0.42,0.17,6.99,0.33,-0.295561603,0.17,0.7,0.33,0.976491388
95,Manda_TanaRiver,40.83340971,-2.360985026,245.77,2375,2516.734643,27.15,-13.93,-0.58,0.59,-0.42,0.18,6.76,0.32,-0.284325252,0.18,0.68,0.32,0.976491388
96,Manda_TanaRiver,40.83346957,-2.361120533,246.16,2400,2516.686835,26.85,-13.7,-0.57,0.59,-0.42,0.18,6.61,0.31,-0.288782,0.18,0.66,0.31,0.976491388
97,Manda_TanaRiver,40.83352802,-2.361252989,246.57,2425,2516.750433,26.58,-13.5,-0.56,0.59,-0.42,0.19,6.45,0.31,-0.297924529,0.19,0.65,0.31,0.976491388
98,Manda_TanaRiver,40.83358249,-2.361382183,247,2450,2516.441089,26.35,-13.32,-0.56,0.59,-0.42,0.2,6.33,0.3,-0.288793051,0.2,0.63,0.3,0.976491388
99,Manda_TanaRiver,40.83363883,-2.361515595,247.41,2475,2516.251226,26.08,-13.12,-0.55,0.59,-0.42,0.21,6.17,0.29,-0.290348194,0.21,0.62,0.29,0.976491388
100,Manda_TanaRiver,40.83369768,-2.361654703,247.79,2500,2516.14844,25.76,-12.69,-0.53,0.59,-0.42,0.22,5.95,0.28,-0.289478044,0.22,0.6,0.28,0.976491388
101,Manda_TanaRiver,40.83375501,-2.361794446,248.17,2525,2515.787243,25.44,-12.12,-0.51,0.59,-0.41,0.23,5.72,0.27,-0.285151304,0.23,0.57,0.27,0.976491388
102,Manda_TanaRiver,40.83380933,-2.361929967,248.57,2550,2515.35175,25.17,-11.63,-0.48,0.59,-0.41,0.23,5.55,0.26,-0.288287295,0.23,0.56,0.26,0.976491388
103,Manda_TanaRiver,40.83386336,-2.36206709,248.96,2575,2515.228786,25.09,-11.53,-0.48,0.59,-0.41,0.24,5.49,0.26,-0.281641987,0.24,0.55,0.26,0.976491388
104,Manda_TanaRiver,40.83392274,-2.362221374,249.27,2600,2515.459693,25.31,-11.39,-0.47,0.59,-0.42,0.25,5.42,0.26,-0.28371906,0.25,0.54,0.26,0.976491388
105,Manda_TanaRiver,40.83398162,-2.362374344,249.58,2625,2515.763108,25.53,-11.26,-0.47,0.59,-0.43,0.26,5.4,0.26,-0.303461009,0.26,0.54,0.26,0.976491388
106,Manda_TanaRiver,40.83403112,-2.362511411,249.99,2650,2515.480542,25.8,-11.23,-0.47,0.59,-0.43,0.27,5.43,0.26,-0.284679533,0.27,0.54,0.26,0.976491388
107,Manda_TanaRiver,40.83407913,-2.362649337,250.39,2675,2515.405811,26.58,-11.34,-0.47,0.59,-0.45,0.27,5.51,0.26,-0.297952196,0.27,0.55,0.26,0.976491388
108,Manda_TanaRiver,40.83413004,-2.362798663,250.73,2700,2515.273702,27.63,-11.49,-0.48,0.59,-0.46,0.28,5.62,0.27,-0.324690518,0.28,0.56,0.27,0.976491388
109,Manda_TanaRiver,40.83417873,-2.362942315,251.11,2725,2515.188323,28.55,-11.62,-0.48,0.59,-0.48,0.28,5.74,0.27,-0.329320038,0.28,0.57,0.27,0.976491388
110,Manda_TanaRiver,40.83422538,-2.36308276,251.5,2750,2515.413101,29.6,-11.58,-0.48,0.59,-0.49,0.28,5.86,0.28,-0.342617606,0.28,0.59,0.28,0.976491388
111,Manda_TanaRiver,40.8342745,-2.36323116,251.85,2775,2515.784675,30.88,-11.23,-0.47,0.59,-0.5,0.28,6.05,0.29,-0.344501855,0.28,0.6,0.29,0.976491388
112,Manda_TanaRiver,40.83432422,-2.363384875,252.18,2800,2516.038134,32.61,-10.84,-0.45,0.59,-0.52,0.28,6.33,0.3,-0.367202045,0.28,0.63,0.3,0.976491388
113,Manda_TanaRiver,40.83437226,-2.363539138,252.5,2825,2516.349694,34.89,-10.64,-0.44,0.59,-0.54,0.27,6.74,0.32,-0.356723351,0.27,0.67,0.32,0.976491388
114,Manda_TanaRiver,40.83441989,-2.363693516,252.82,2850,2516.836496,37.27,-10.33,-0.43,0.59,-0.57,0.26,7.24,0.34,-0.397123757,0.26,0.72,0.34,0.976491388
115,Manda_TanaRiver,40.83446725,-2.36384796,253.15,2875,2517.342467,40.35,-10.01,-0.42,0.59,-0.6,0.25,7.93,0.38,-0.424355777,0.25,0.79,0.38,0.965548928
116,Manda_TanaRiver,40.83451342,-2.364019493,253.39,2900,2517.664474,45.16,-10.07,-0.42,0.59,-0.66,0.24,8.92,0.42,-0.439806202,0.24,0.89,0.42,0.965548928
117,Manda_TanaRiver,40.83455952,-2.364194539,253.62,2925,2518.26705,50.43,-10.33,-0.43,0.59,-0.73,0.23,10,0.48,-0.482118336,0.23,1,0.48,0.965548928
118,Manda_TanaRiver,40.83460666,-2.364374045,253.82,2950,2518.964185,55.62,-10.31,-0.43,0.59,-0.79,0.22,11.12,0.53,-0.527528657,0.22,1.11,0.53,0.965548928
119,Manda_TanaRiver,40.83465289,-2.364555003,254.02,2975,2519.437756,59.06,-9.7,-0.4,0.59,-0.81,0.21,11.88,0.56,-0.571191961,0.21,1.19,0.56,0.965548928
120,Manda_TanaRiver,40.83469841,-2.364736138,254.22,3000,2519.778534,59.84,-9.07,-0.38,0.59,-0.81,0.2,12.05,0.57,-0.527627612,0.2,1.21,0.57,0.965548928
121,Manda_TanaRiver,40.83474393,-2.364917267,254.41,3025,2520.149243,57.49,-7.83,-0.33,0.59,-0.76,0.19,11.58,0.55,-0.53074565,0.19,1.16,0.55,0.965548928
122,Manda_TanaRiver,40.83478801,-2.365104079,254.59,3050,2521.19443,50.68,-7.02,-0.29,0.59,-0.67,0.2,10.15,0.48,-0.449414398,0.2,1.02,0.48,0.965548928
123,Manda_TanaRiver,40.8348324,-2.365295672,254.73,3075,2522.475628,41.01,-6.2,-0.26,0.59,-0.56,0.21,8.29,0.39,-0.37654514,0.21,0.83,0.39,0.965548928
124,Manda_TanaRiver,40.83487563,-2.365487553,254.88,3100,2524.038458,32.69,-5.81,-0.24,0.59,-0.47,0.22,6.7,0.32,-0.31091016,0.22,0.67,0.32,0.965548928
125,Manda_TanaRiver,40.83491779,-2.365681141,255.02,3125,2525.948462,26.7,-5.64,-0.23,0.59,-0.4,0.22,5.61,0.27,-0.277545936,0.22,0.56,0.27,0.965548928
126,Manda_TanaRiver,40.83496208,-2.365893047,255.07,3150,2528.458983,22.05,-5.43,-0.23,0.59,-0.34,0.22,4.82,0.23,-0.226107669,0.22,0.48,0.23,0.965548928
127,Manda_TanaRiver,40.83500637,-2.366104934,255.12,3175,2530.970829,18.98,-5.22,-0.22,0.59,-0.3,0.2,4.45,0.21,-0.206818446,0.2,0.45,0.21,0.965548928
128,Manda_TanaRiver,40.83505066,-2.366316801,255.17,3200,2533.484155,17.31,-5.1,-0.21,0.59,-0.27,0.17,4.54,0.22,-0.181996275,0.17,0.45,0.22,0.965548928
129,Manda_TanaRiver,40.83509676,-2.366534536,255.19,3225,2535.94246,16.61,-6.28,-0.26,0.59,-0.27,0.15,4.82,0.23,-0.191406041,0.15,0.48,0.23,0.947841395
130,Manda_TanaRiver,40.83514537,-2.366755451,255.19,3250,2538.042201,16.82,-6.8,-0.28,0.59,-0.26,0.13,5.03,0.24,-0.182622775,0.13,0.5,0.24,0.947841395
131,Manda_TanaRiver,40.8351993,-2.366974944,255.19,3275,2538.917488,16.27,-7.6,-0.32,0.59,-0.26,0.14,4.91,0.23,-0.173485621,0.14,0.49,0.23,0.947841395
132,Manda_TanaRiver,40.83525675,-2.367193495,255.19,3300,2538.982534,14.9,-7.84,-0.33,0.59,-0.25,0.15,4.47,0.21,-0.168912737,0.15,0.45,0.21,0.937154324
133,Manda_TanaRiver,40.83531948,-2.367410636,255.19,3325,2537.831737,13.7,-8.09,-0.34,0.59,-0.24,0.17,4.06,0.19,-0.167794761,0.17,0.41,0.19,0.937154324
134,Manda_TanaRiver,40.8353818,-2.367626472,255.2,3350,2536.694783,13.4,-8.52,-0.36,0.59,-0.24,0.18,3.87,0.18,-0.162111553,0.18,0.39,0.18,0.937154324
135,Manda_TanaRiver,40.83544113,-2.367829703,255.27,3375,2535.488203,13.26,-9.02,-0.38,0.59,-0.24,0.19,3.69,0.18,-0.159962269,0.19,0.37,0.18,0.937154324
136,Manda_TanaRiver,40.8355016,-2.368032644,255.34,3400,2534.023905,13.25,-8.85,-0.37,0.59,-0.22,0.2,3.3,0.16,-0.144949197,0.2,0.33,0.16,0.937154324
137,Manda_TanaRiver,40.83556207,-2.368235603,255.41,3425,2532.563289,13.46,-8.88,-0.37,0.59,-0.21,0.21,3.04,0.14,-0.147563323,0.21,0.3,0.14,0.937154324
138,Manda_TanaRiver,40.83562255,-2.368438576,255.48,3450,2531.106367,13.67,-9.1,-0.38,0.59,-0.21,0.22,2.87,0.14,-0.140277864,0.22,0.29,0.14,0.937154324
139,Manda_TanaRiver,40.83568258,-2.368640241,255.56,3475,2529.675895,13.88,-9.7,-0.4,0.59,-0.21,0.25,2.82,0.13,-0.142434588,0.25,0.28,0.13,0.937154324
140,Manda_TanaRiver,40.8357406,-2.368829144,255.71,3500,2527.982389,13.66,-9.75,-0.41,0.59,-0.22,0.25,2.85,0.14,-0.146176236,0.25,0.28,0.14,0.937154324
