FID,Zone,Longitude,Latitude,Azimuth,TCD,SHAPE_Leng,SCE,NSM,EPR,EPRunc,LRR,LR2,LSE,LCI90,WLR,WR2,WSE,WCI90,SLA_Interp
12806,Kwale,39.51044411,-4.462130246,271.5,322625,2530.296972,17.32,-1.27,-0.05,0.59,-0.08,0.03,3.26,0.15,-0.054310117,0.03,0.33,0.15,0.180988769
12807,Kwale,39.51043713,-4.462302741,271.77,322650,2530.243049,17.23,-1.73,-0.07,0.59,-0.09,0.04,3.18,0.15,-0.059708081,0.04,0.32,0.15,0.180988769
12808,Kwale,39.51042997,-4.462475225,272.03,322675,2530.286526,17.06,-2.06,-0.09,0.59,-0.09,0.05,3.12,0.15,-0.062734628,0.05,0.31,0.15,0.180988769
12809,Kwale,39.51042269,-4.462643723,272.32,322700,2530.444766,16.77,-1.96,-0.08,0.59,-0.09,0.05,3.05,0.15,-0.063150911,0.05,0.31,0.15,0.180988769
12810,Kwale,39.51041448,-4.462806931,272.64,322725,2530.927097,16.1,-2.14,-0.09,0.59,-0.09,0.05,2.91,0.14,-0.059664237,0.05,0.29,0.14,0.180988769
12811,Kwale,39.51040627,-4.462970109,272.95,322750,2531.485366,15.43,-2.31,-0.1,0.59,-0.09,0.05,2.77,0.13,-0.062147593,0.05,0.28,0.13,0.180988769
12812,Kwale,39.51039798,-4.463134322,273.26,322775,2532.12436,14.74,-2.21,-0.09,0.59,-0.09,0.06,2.64,0.13,-0.062237246,0.06,0.26,0.13,0.180988769
12813,Kwale,39.51038776,-4.463303158,273.54,322800,2532.503581,13.88,-1.96,-0.08,0.59,-0.08,0.05,2.49,0.12,-0.053238486,0.05,0.25,0.12,0.180988769
12814,Kwale,39.51037739,-4.463470789,273.83,322825,2532.88975,12.56,-1.71,-0.07,0.59,-0.07,0.05,2.28,0.11,-0.047891278,0.05,0.23,0.11,0.180988769
12815,Kwale,39.51036787,-4.463638462,274.13,322850,2533.152904,11.05,-1.24,-0.05,0.59,-0.06,0.04,2.06,0.1,-0.042205429,0.04,0.21,0.1,0.180988769
12816,Kwale,39.51035548,-4.463801919,274.44,322875,2533.138371,9.82,-0.79,-0.03,0.59,-0.04,0.03,1.87,0.09,-0.026126262,0.03,0.19,0.09,0.180988769
12817,Kwale,39.51034075,-4.463959789,274.77,322900,2533.25859,9.05,-0.43,-0.02,0.59,-0.03,0.02,1.74,0.08,-0.020661315,0.02,0.17,0.08,0.180988769
12818,Kwale,39.51032601,-4.464117639,275.11,322925,2533.466899,8.29,-0.16,-0.01,0.59,-0.01,0,1.63,0.08,-0.006648361,0,0.16,0.08,0.180988769
12819,Kwale,39.5103105,-4.464275392,275.45,322950,2533.589566,7.52,0.1,0,0.59,0,0,1.54,0.07,0,0,0.15,0.07,0.180988769
12820,Kwale,39.51029516,-4.464422081,275.84,322975,2533.550423,6.95,0.3,0.01,0.59,0.01,0,1.54,0.07,0.006673226,0,0.15,0.07,0.180988769
12821,Kwale,39.51028043,-4.464563215,276.27,323000,2533.629069,6.77,0.47,0.02,0.59,0.01,0,1.56,0.07,0.006749365,0,0.16,0.07,0.180988769
12822,Kwale,39.510266,-4.464701578,276.7,323025,2533.848829,7.17,0.63,0.03,0.59,0.02,0.01,1.6,0.08,0.013148007,0.01,0.16,0.08,0.180988769
12823,Kwale,39.51024948,-4.464844128,277.11,323050,2533.838419,7.64,0.81,0.03,0.59,0.02,0.01,1.66,0.08,0.01382148,0.01,0.17,0.08,0.180988769
12824,Kwale,39.51023244,-4.464987836,277.52,323075,2533.869811,8.13,0.99,0.04,0.59,0.03,0.02,1.75,0.08,0.020030384,0.02,0.17,0.08,0.180988769
12825,Kwale,39.5102154,-4.465131544,277.93,323100,2534.029134,8.62,1.18,0.05,0.59,0.04,0.02,1.84,0.09,0.027966959,0.02,0.18,0.09,0.180988769
12826,Kwale,39.51019752,-4.46527416,278.34,323125,2534.111421,9.1,1.36,0.06,0.59,0.04,0.03,1.95,0.09,0.026680621,0.03,0.2,0.09,0.180988769
12827,Kwale,39.51017613,-4.465420666,278.73,323150,2533.602905,9.64,1.57,0.07,0.59,0.05,0.03,2.08,0.1,0.034918784,0.03,0.21,0.1,0.180988769
12828,Kwale,39.51015473,-4.465567197,279.12,323175,2533.211761,10.19,1.78,0.07,0.59,0.06,0.04,2.23,0.11,0.041088107,0.04,0.22,0.11,0.180988769
12829,Kwale,39.51013231,-4.465717609,279.49,323200,2533.02299,10.93,2.01,0.08,0.59,0.07,0.04,2.41,0.11,0.046337808,0.04,0.24,0.11,0.180988769
12830,Kwale,39.51010701,-4.465872846,279.84,323225,2532.420706,11.79,2.21,0.09,0.59,0.07,0.04,2.65,0.13,0.045919738,0.04,0.26,0.13,0.180988769
12831,Kwale,39.51008289,-4.466010161,280.27,323250,2531.867908,12.13,2.04,0.09,0.59,0.07,0.04,2.71,0.13,0.047620794,0.04,0.27,0.13,0.180988769
12832,Kwale,39.51005977,-4.466135263,280.76,323275,2531.500494,12.26,1.99,0.08,0.59,0.07,0.04,2.75,0.13,0.048189042,0.04,0.27,0.13,0.180988769
12833,Kwale,39.5100349,-4.466268484,281.22,323300,2531.038272,12.48,1.91,0.08,0.59,0.07,0.03,2.8,0.13,0.045755538,0.03,0.28,0.13,0.180988769
12834,Kwale,39.51000979,-4.466403646,281.66,323325,2530.701654,12.71,1.83,0.08,0.59,0.07,0.03,2.86,0.14,0.047542934,0.03,0.29,0.14,0.180988769
12835,Kwale,39.50998434,-4.466538761,282.11,323350,2530.591992,13.01,1.53,0.06,0.59,0.06,0.02,2.94,0.14,0.040886195,0.02,0.29,0.14,0.180988769
12836,Kwale,39.50995592,-4.466673158,282.55,323375,2530.181637,13.43,1.42,0.06,0.59,0.06,0.02,3.02,0.14,0.039777212,0.02,0.3,0.14,0.180988769
12837,Kwale,39.5099262,-4.466812918,282.97,323400,2529.751873,13.79,1.32,0.05,0.59,0.05,0.02,3.09,0.15,0.03407054,0.02,0.31,0.15,0.180988769
12838,Kwale,39.50989648,-4.466952698,283.38,323425,2529.455739,13.52,1.2,0.05,0.59,0.05,0.01,3.1,0.15,0.034341391,0.01,0.31,0.15,0.180988769
12839,Kwale,39.50986796,-4.467085089,283.84,323450,2529.424478,13.32,0.89,0.04,0.59,0.04,0.01,3.06,0.15,0.026131351,0.01,0.31,0.15,0.180988769
12840,Kwale,39.50983862,-4.467222531,284.27,323475,2529.453705,13.07,0.87,0.04,0.59,0.03,0.01,3.02,0.14,0.020683394,0.01,0.3,0.14,0.180988769
