Zone,Fish type,Species,Season,Year,Number of Boated catch,Weight in Kgs,Tagged fish,Hours,CPUE,Released weight (weight - boated),Calculated length
Lamu & Kiwayu,Black Marlin,Istiompax indica,2013/2014,2014,2,0,2,7,0.3,,
Malindi & Ngomeni,Black Marlin,Istiompax indica,2014/2015,2015,23,80,13,7,3.3,,
Watamu,Black Marlin,Istiompax indica,2014/2015,2015,55,2100,40,7,7.9,,
Shimoni,Black Marlin,Istiompax indica,2014/2015,2015,1,200,1,7,0.1,,
Mtwapa & Mombasa,Black Marlin,Istiompax indica,2014/2015,2015,3,85,2,7,0.4,,
Kilifi,Black Marlin,Istiompax indica,2014/2015,2015,7,823,4,7,1.0,,
Lamu & Kiwayu,Black Marlin,Istiompax indica,2014/2015,2015,3,0,3,7,0.4,,
Malindi & Ngomeni,Black Marlin,Makaira mazara,1990/1991,1991,1,38,0,7,0.1,,
Watamu,Blue Marlin,Makaira mazara,1990/1991,1991,7,712,0,7,1.0,,
Shimoni,Blue Marlin,Makaira mazara,1990/1991,1991,5,841,0,7,0.7,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,1990/1991,1991,0,0,0,7,0.0,,
Kilifi,Blue Marlin,Makaira mazara,1990/1991,1991,1,49,0,7,0.1,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,1990/1991,1991,1,76,0,7,0.1,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,1991/1992,1992,6,866,0,7,0.9,,
Watamu,Blue Marlin,Makaira mazara,1991/1992,1992,3,334,1,7,0.4,,
Shimoni,Blue Marlin,Makaira mazara,1991/1992,1992,6,1428,1,7,0.9,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,1991/1992,1992,1,87,0,7,0.1,,
Kilifi,Blue Marlin,Makaira mazara,1991/1992,1992,3,187,0,7,0.4,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,1991/1992,1992,0,0,0,7,0.0,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,1992/1993,1993,4,631.1,1,7,0.6,,
Watamu,Blue Marlin,Makaira mazara,1992/1993,1993,12,816,7,7,1.7,,
Shimoni,Blue Marlin,Makaira mazara,1992/1993,1993,5,580,1,7,0.7,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,1992/1993,1993,2,138,0,7,0.3,,
Kilifi,Blue Marlin,Makaira mazara,1992/1993,1993,0,0,0,7,0.0,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,1992/1993,1993,0,0,0,7,0.0,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,1993/1994,1994,6,530.1,3,7,0.9,,
Watamu,Blue Marlin,Makaira mazara,1993/1994,1994,18,1647,18,7,2.6,,
Shimoni,Blue Marlin,Makaira mazara,1993/1994,1994,8,1056.5,1,7,1.1,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,1993/1994,1994,1,54,1,7,0.1,,
Kilifi,Blue Marlin,Makaira mazara,1993/1994,1994,2,88.3,0,7,0.3,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,1993/1994,1994,2,145,1,7,0.3,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,1994/1995,1995,4,826,1,7,0.6,,
Watamu,Blue Marlin,Makaira mazara,1994/1995,1995,2,198,1,7,0.3,,
Shimoni,Blue Marlin,Makaira mazara,1994/1995,1995,5,637,1,7,0.7,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,1994/1995,1995,3,170,0,7,0.4,,
Kilifi,Blue Marlin,Makaira mazara,1994/1995,1995,3,247,0,7,0.4,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,1994/1995,1995,0,0,0,7,0.0,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,1995/1996,1996,11,1151,3,7,1.6,,
Watamu,Blue Marlin,Makaira mazara,1995/1996,1996,43,2379,25,7,6.1,,
Shimoni,Blue Marlin,Makaira mazara,1995/1996,1996,13,939,11,7,1.9,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,1995/1996,1996,1,58,0,7,0.1,,
Kilifi,Blue Marlin,Makaira mazara,1995/1996,1996,9,246,0,7,1.3,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,1995/1996,1996,1,248,0,7,0.1,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,1996/1997,1997,1,266,0,7,0.1,,
Watamu,Blue Marlin,Makaira mazara,1996/1997,1997,3,-,3,7,0.4,,
Shimoni,Blue Marlin,Makaira mazara,1996/1997,1997,6,1174,2,7,0.9,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,1996/1997,1997,1,57,0,7,0.1,,
Kilifi,Blue Marlin,Makaira mazara,1996/1997,1997,1,68,0,7,0.1,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,1996/1997,1997,0,0,0,7,0.0,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,1997/1998,1998,3,350,1,7,0.4,,
Watamu,Blue Marlin,Makaira mazara,1997/1998,1998,12,801,6,7,1.7,,
Shimoni,Blue Marlin,Makaira mazara,1997/1998,1998,9,933.2,3,7,1.3,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,1997/1998,1998,0,0,0,7,0.0,,
Kilifi,Blue Marlin,Makaira mazara,1997/1998,1998,4,239.4,2,7,0.6,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,1997/1998,1998,0,0,0,7,0.0,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,1998/1999,1999,19,247,14,7,2.7,,
Watamu,Blue Marlin,Makaira mazara,1998/1999,1999,39,439,34,7,5.6,,
Shimoni,Blue Marlin,Makaira mazara,1998/1999,1999,11,370,7,7,1.6,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,1998/1999,1999,3,104,1,7,0.4,,
Kilifi,Blue Marlin,Makaira mazara,1998/1999,1999,23,324,17,7,3.3,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,1998/1999,1999,3,180,3,7,0.4,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,1999/2000,2000,6,904,6,7,0.9,,
Watamu,Blue Marlin,Makaira mazara,1999/2000,2000,9,527,4,7,1.3,,
Shimoni,Blue Marlin,Makaira mazara,1999/2000,2000,11,472,11,7,1.6,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,1999/2000,2000,1,80,1,7,0.1,,
Kilifi,Blue Marlin,Makaira mazara,1999/2000,2000,2,159,0,7,0.3,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,1999/2000,2000,3,180,3,7,0.4,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,2000/2001,2001,3,339,1,7,0.4,,
Watamu,Blue Marlin,Makaira mazara,2000/2001,2001,1,?,1,7,0.1,,
Shimoni,Blue Marlin,Makaira mazara,2000/2001,2001,0,0,0,7,0.0,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,2000/2001,2001,0,0,0,7,0.0,,
Kilifi,Blue Marlin,Makaira mazara,2000/2001,2001,0,0,0,7,0.0,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,2000/2001,2001,0,0,0,7,0.0,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,2001/2002,2002,0,0,0,7,0.0,,
Watamu,Blue Marlin,Makaira mazara,2001/2002,2002,1,60,1,7,0.1,,
Shimoni,Blue Marlin,Makaira mazara,2001/2002,2002,5,0,5,7,0.7,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,2001/2002,2002,0,0,0,7,0.0,,
Kilifi,Blue Marlin,Makaira mazara,2001/2002,2002,0,0,0,7,0.0,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,2001/2002,2002,2,0,2,7,0.3,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,2002/2003,2003,0,0,0,7,0.0,,
Watamu,Blue Marlin,Makaira mazara,2002/2003,2003,2,247,2,7,0.3,,
Shimoni,Blue Marlin,Makaira mazara,2002/2003,2003,1,80,1,7,0.1,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,2002/2003,2003,0,0,0,7,0.0,,
Kilifi,Blue Marlin,Makaira mazara,2002/2003,2003,0,0,0,7,0.0,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,2002/2003,2003,0,0,0,7,0.0,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,2003/2004,2004,0,0,0,7,0.0,,
Watamu,Blue Marlin,Makaira mazara,2003/2004,2004,1,113,0,7,0.1,,
Shimoni,Blue Marlin,Makaira mazara,2003/2004,2004,0,0,0,7,0.0,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,2003/2004,2004,0,0,0,7,0.0,,
Kilifi,Blue Marlin,Makaira mazara,2003/2004,2004,0,0,0,7,0.0,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,2003/2004,2004,0,0,0,7,0.0,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,2004/2005,2005,2,90,2,7,0.3,,
Watamu,Blue Marlin,Makaira mazara,2004/2005,2005,6,336,5,7,0.9,,
Shimoni,Blue Marlin,Makaira mazara,2004/2005,2005,3,190,2,7,0.4,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,2004/2005,2005,0,0,0,7,0.0,,
Kilifi,Blue Marlin,Makaira mazara,2004/2005,2005,0,0,0,7,0.0,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,2004/2005,2005,0,0,0,7,0.0,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,2005/2006,2006,19,510,19,7,2.7,,
Watamu,Blue Marlin,Makaira mazara,2005/2006,2006,34,1748,34,7,4.9,,
Shimoni,Blue Marlin,Makaira mazara,2005/2006,2006,8,454,8,7,1.1,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,2005/2006,2006,1,50,1,7,0.1,,
Kilifi,Blue Marlin,Makaira mazara,2005/2006,2006,2,0,2,7,0.3,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,2005/2006,2006,1,0,1,7,0.1,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,2006/2007,2007,9,681,7,7,1.3,,
Watamu,Blue Marlin,Makaira mazara,2006/2007,2007,20,2234.5,19,7,2.9,,
Shimoni,Blue Marlin,Makaira mazara,2006/2007,2007,4,224,4,7,0.6,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,2006/2007,2007,0,0,0,7,0.0,,
Kilifi,Blue Marlin,Makaira mazara,2006/2007,2007,0,0,0,7,0.0,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,2006/2007,2007,0,0,0,7,0.0,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,2007/2008,2008,3,248,2,7,0.4,,
Watamu,Blue Marlin,Makaira mazara,2007/2008,2008,17,2564,15,7,2.4,,
Shimoni,Blue Marlin,Makaira mazara,2007/2008,2008,4,208,4,7,0.6,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,2007/2008,2008,0,0,0,7,0.0,,
Kilifi,Blue Marlin,Makaira mazara,2007/2008,2008,0,0,0,7,0.0,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,2007/2008,2008,0,0,0,7,0.0,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,2008/2009,2009,17,1180,15,7,2.4,,
Watamu,Blue Marlin,Makaira mazara,2008/2009,2009,50,4156,44,7,7.1,,
Shimoni,Blue Marlin,Makaira mazara,2008/2009,2009,9,892,8,7,1.3,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,2008/2009,2009,0,0,0,7,0.0,,
Kilifi,Blue Marlin,Makaira mazara,2008/2009,2009,1,120,0,7,0.1,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,2008/2009,2009,1,1100,1,7,0.1,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,2009/2010,2010,42,4051,32,7,6.0,,
Watamu,Blue Marlin,Makaira mazara,2009/2010,2010,50,4156,44,7,7.1,,
Shimoni,Blue Marlin,Makaira mazara,2009/2010,2010,2,241,2,7,0.3,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,2009/2010,2010,6,380,6,7,0.9,,
Kilifi,Blue Marlin,Makaira mazara,2009/2010,2010,2,180,2,7,0.3,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,2009/2010,2010,0,0,0,7,0.0,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,2010/2011,2011,42,4051,32,7,6.0,,
Watamu,Blue Marlin,Makaira mazara,2010/2011,2011,89,4219,64,7,12.7,,
Shimoni,Blue Marlin,Makaira mazara,2010/2011,2011,2,241,2,7,0.3,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,2010/2011,2011,6,380,6,7,0.9,,
Kilifi,Blue Marlin,Makaira mazara,2010/2011,2011,2,180,2,7,0.3,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,2010/2011,2011,0,0,0,7,0.0,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,2011/2012,2012,7,735,5,7,1.0,,
Watamu,Blue Marlin,Makaira mazara,2011/2012,2012,16,1216,12,7,2.3,,
Shimoni,Blue Marlin,Makaira mazara,2011/2012,2012,10,1162,8,7,1.4,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,2011/2012,2012,1,90,1,7,0.1,,
Kilifi,Blue Marlin,Makaira mazara,2011/2012,2012,1,100,1,7,0.1,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,2011/2012,2012,3,150,2,7,0.4,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,2012/2013,2013,21,2245,15,7,3.0,,
Watamu,Blue Marlin,Makaira mazara,2012/2013,2013,33,2424,26,7,4.7,,
Shimoni,Blue Marlin,Makaira mazara,2012/2013,2013,12,2092,8,7,1.7,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,2012/2013,2013,0,0,0,7,0.0,,
Kilifi,Blue Marlin,Makaira mazara,2012/2013,2013,4,144.4,2,7,0.6,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,2012/2013,2013,0,0,0,7,0.0,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,2013/2014,2014,60,4109,54,7,8.6,,
Watamu,Blue Marlin,Makaira mazara,2013/2014,2014,121,8028,101,7,17.3,,
Shimoni,Blue Marlin,Makaira mazara,2013/2014,2014,11,921,7,7,1.6,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,2013/2014,2014,6,0,4,7,0.9,,
Kilifi,Blue Marlin,Makaira mazara,2013/2014,2014,13,1315,13,7,1.9,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,2013/2014,2014,4,0,4,7,0.6,,
Malindi & Ngomeni,Blue Marlin,Makaira mazara,2014/2015,2015,21,0,18,7,3.0,,
Watamu,Blue Marlin,Makaira mazara,2014/2015,2015,50,2321,41,7,7.1,,
Shimoni,Blue Marlin,Makaira mazara,2014/2015,2015,1,316,0,7,0.1,,
Mtwapa & Mombasa,Blue Marlin,Makaira mazara,2014/2015,2015,6,0,3,7,0.9,,
Kilifi,Blue Marlin,Makaira mazara,2014/2015,2015,6,849,5,7,0.9,,
Lamu & Kiwayu,Blue Marlin,Makaira mazara,2014/2015,2015,1,0,1,7,0.1,,
Malindi & Ngomeni,Blue Marlin,Xiphias gladius,1990/1991,1991,0,0,0,7,0.0,,
Watamu,Broadbill,Xiphias gladius,1990/1991,1991,3,52,0,7,0.4,,
Shimoni,Broadbill,Xiphias gladius,1990/1991,1991,0,0,0,7,0.0,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,1990/1991,1991,0,0,0,7,0.0,,
Kilifi,Broadbill,Xiphias gladius,1990/1991,1991,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,1990/1991,1991,0,0,0,7,0.0,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,1991/1992,1992,0,0,0,7,0.0,,
Watamu,Broadbill,Xiphias gladius,1991/1992,1992,1,17,0,7,0.1,,
Shimoni,Broadbill,Xiphias gladius,1991/1992,1992,0,0,0,7,0.0,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,1991/1992,1992,0,0,0,7,0.0,,
Kilifi,Broadbill,Xiphias gladius,1991/1992,1992,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,1991/1992,1992,0,0,0,7,0.0,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,1992/1993,1993,27,798.1,9,7,3.9,,
Watamu,Broadbill,Xiphias gladius,1992/1993,1993,61,793,34,7,8.7,,
Shimoni,Broadbill,Xiphias gladius,1992/1993,1993,2,65,0,7,0.3,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,1992/1993,1993,0,0,0,7,0.0,,
Kilifi,Broadbill,Xiphias gladius,1992/1993,1993,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,1992/1993,1993,6,143,3,7,0.9,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,1993/1994,1994,98,2847.1,31,7,14.0,,
Watamu,Broadbill,Xiphias gladius,1993/1994,1994,32,999.7,15,7,4.6,,
Shimoni,Broadbill,Xiphias gladius,1993/1994,1994,4,108.7,1,7,0.6,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,1993/1994,1994,5,181,3,7,0.7,,
Kilifi,Broadbill,Xiphias gladius,1993/1994,1994,9,100,6,7,1.3,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,1993/1994,1994,0,0,0,7,0.0,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,1994/1995,1995,29,704,10,7,4.1,,
Watamu,Broadbill,Xiphias gladius,1994/1995,1995,10,64,7,7,1.4,,
Shimoni,Broadbill,Xiphias gladius,1994/1995,1995,3,27,1,7,0.4,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,1994/1995,1995,9,243,3,7,1.3,,
Kilifi,Broadbill,Xiphias gladius,1994/1995,1995,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,1994/1995,1995,2,0,2,7,0.3,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,1995/1996,1996,57,1708,29,7,8.1,,
Watamu,Broadbill,Xiphias gladius,1995/1996,1996,8,140,3,7,1.1,,
Shimoni,Broadbill,Xiphias gladius,1995/1996,1996,1,18,0,7,0.1,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,1995/1996,1996,7,267,2,7,1.0,,
Kilifi,Broadbill,Xiphias gladius,1995/1996,1996,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,1995/1996,1996,5,66,3,7,0.7,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,1996/1997,1997,28,420,7,7,4.0,,
Watamu,Broadbill,Xiphias gladius,1996/1997,1997,16,22,15,7,2.3,,
Shimoni,Broadbill,Xiphias gladius,1996/1997,1997,5,214,1,7,0.7,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,1996/1997,1997,2,67,0,7,0.3,,
Kilifi,Broadbill,Xiphias gladius,1996/1997,1997,2,55,0,7,0.3,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,1996/1997,1997,2,50,2,7,0.3,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,1997/1998,1998,41,1595.5,29,7,5.9,,
Watamu,Broadbill,Xiphias gladius,1997/1998,1998,128,2089,86,7,18.3,,
Shimoni,Broadbill,Xiphias gladius,1997/1998,1998,14,529,8,7,2.0,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,1997/1998,1998,2,33,1,7,0.3,,
Kilifi,Broadbill,Xiphias gladius,1997/1998,1998,1,31.4,0,7,0.1,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,1997/1998,1998,4,45,0,7,0.6,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,1998/1999,1999,60,359,49,7,8.6,,
Watamu,Broadbill,Xiphias gladius,1998/1999,1999,42,505,23,7,6.0,,
Shimoni,Broadbill,Xiphias gladius,1998/1999,1999,3,90,1,7,0.4,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,1998/1999,1999,1,67,0,7,0.1,,
Kilifi,Broadbill,Xiphias gladius,1998/1999,1999,4,15,4,7,0.6,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,1998/1999,1999,1,45,0,7,0.1,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,1999/2000,2000,92,2903.4,14,7,13.1,,
Watamu,Broadbill,Xiphias gladius,1999/2000,2000,60,273,52,7,8.6,,
Shimoni,Broadbill,Xiphias gladius,1999/2000,2000,14,292,8,7,2.0,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,1999/2000,2000,0,0,0,7,0.0,,
Kilifi,Broadbill,Xiphias gladius,1999/2000,2000,4,109,0,7,0.6,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,1999/2000,2000,2,63,2,7,0.3,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,2000/2001,2001,35,1087,26,7,5.0,,
Watamu,Broadbill,Xiphias gladius,2000/2001,2001,36,491,26,7,5.1,,
Shimoni,Broadbill,Xiphias gladius,2000/2001,2001,8,344,1,7,1.1,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,2000/2001,2001,0,0,0,7,0.0,,
Kilifi,Broadbill,Xiphias gladius,2000/2001,2001,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,2000/2001,2001,0,0,0,7,0.0,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,2001/2002,2002,20,564,19,7,2.9,,
Watamu,Broadbill,Xiphias gladius,2001/2002,2002,19,89,17,7,2.7,,
Shimoni,Broadbill,Xiphias gladius,2001/2002,2002,2,44,0,7,0.3,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,2001/2002,2002,3,20,2,7,0.4,,
Kilifi,Broadbill,Xiphias gladius,2001/2002,2002,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,2001/2002,2002,7,0,7,7,1.0,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,2002/2003,2003,3,88,3,7,0.4,,
Watamu,Broadbill,Xiphias gladius,2002/2003,2003,11,383,9,7,1.6,,
Shimoni,Broadbill,Xiphias gladius,2002/2003,2003,6,292,2,7,0.9,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,2002/2003,2003,2,30,1,7,0.3,,
Kilifi,Broadbill,Xiphias gladius,2002/2003,2003,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,2002/2003,2003,0,0,0,7,0.0,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,2003/2004,2004,34,1111,32,7,4.9,,
Watamu,Broadbill,Xiphias gladius,2003/2004,2004,10,273,9,7,1.4,,
Shimoni,Broadbill,Xiphias gladius,2003/2004,2004,1,20,1,7,0.1,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,2003/2004,2004,1,0,1,7,0.1,,
Kilifi,Broadbill,Xiphias gladius,2003/2004,2004,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,2003/2004,2004,3,0,3,7,0.4,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,2004/2005,2005,58,1834,49,7,8.3,,
Watamu,Broadbill,Xiphias gladius,2004/2005,2005,83,2679,82,7,11.9,,
Shimoni,Broadbill,Xiphias gladius,2004/2005,2005,3,90,0,7,0.4,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,2004/2005,2005,2,50,2,7,0.3,,
Kilifi,Broadbill,Xiphias gladius,2004/2005,2005,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,2004/2005,2005,12,301.5,11,7,1.7,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,2005/2006,2006,18,210,18,7,2.6,,
Watamu,Broadbill,Xiphias gladius,2005/2006,2006,20,204,20,7,2.9,,
Shimoni,Broadbill,Xiphias gladius,2005/2006,2006,0,0,0,7,0.0,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,2005/2006,2006,0,0,0,7,0.0,,
Kilifi,Broadbill,Xiphias gladius,2005/2006,2006,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,2005/2006,2006,0,0,0,7,0.0,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,2006/2007,2007,16,1010,16,7,2.3,,
Watamu,Broadbill,Xiphias gladius,2006/2007,2007,32,804.5,28,7,4.6,,
Shimoni,Broadbill,Xiphias gladius,2006/2007,2007,1,7,1,7,0.1,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,2006/2007,2007,0,0,0,7,0.0,,
Kilifi,Broadbill,Xiphias gladius,2006/2007,2007,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,2006/2007,2007,0,0,0,7,0.0,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,2007/2008,2008,19,443,16,7,2.7,,
Watamu,Broadbill,Xiphias gladius,2007/2008,2008,127,2025,123,7,18.1,,
Shimoni,Broadbill,Xiphias gladius,2007/2008,2008,4,68,4,7,0.6,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,2007/2008,2008,0,0,0,7,0.0,,
Kilifi,Broadbill,Xiphias gladius,2007/2008,2008,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,2007/2008,2008,0,0,0,7,0.0,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,2008/2009,2009,35,1116.6,33,7,5.0,,
Watamu,Broadbill,Xiphias gladius,2008/2009,2009,75,1960,36,7,10.7,,
Shimoni,Broadbill,Xiphias gladius,2008/2009,2009,4,125,4,7,0.6,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,2008/2009,2009,1,9,0,7,0.1,,
Kilifi,Broadbill,Xiphias gladius,2008/2009,2009,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,2008/2009,2009,13,290,12,7,1.9,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,2009/2010,2010,20,424,18,7,2.9,,
Watamu,Broadbill,Xiphias gladius,2009/2010,2010,75,1960,36,7,10.7,,
Shimoni,Broadbill,Xiphias gladius,2009/2010,2010,0,0,0,7,0.0,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,2009/2010,2010,0,0,0,7,0.0,,
Kilifi,Broadbill,Xiphias gladius,2009/2010,2010,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,2009/2010,2010,0,0,0,7,0.0,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,2010/2011,2011,20,424,18,7,2.9,,
Watamu,Broadbill,Xiphias gladius,2010/2011,2011,92,1274,71,7,13.1,,
Shimoni,Broadbill,Xiphias gladius,2010/2011,2011,0,0,0,7,0.0,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,2010/2011,2011,0,0,0,7,0.0,,
Kilifi,Broadbill,Xiphias gladius,2010/2011,2011,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,2010/2011,2011,0,0,0,7,0.0,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,2011/2012,2012,0,0,0,7,0.0,,
Watamu,Broadbill,Xiphias gladius,2011/2012,2012,16,651,11,7,2.3,,
Shimoni,Broadbill,Xiphias gladius,2011/2012,2012,1,55,0,7,0.1,,
Mtwapa & Mombasa,Broadbill,Xiphias gladius,2011/2012,2012,0,0,0,7,0.0,,
Kilifi,Broadbill,Xiphias gladius,2011/2012,2012,0,0,0,7,0.0,,
Lamu & Kiwayu,Broadbill,Xiphias gladius,2011/2012,2012,0,0,0,7,0.0,,
Malindi & Ngomeni,Broadbill,Xiphias gladius,2012/2013,2013,0,0,0,7,0.0,,
Watamu,Broadbill,Xiphias gladius,2012/2013,2013,6,30,4,7,0.9,,
