Zone,Fish type,Species,Season,Year,Number of Boated catch,Weight in Kgs,Tagged fish,Hours,CPUE,Released weight (weight - boated),Calculated length
Shimoni,Barracuda,Sphyraena,2001/2002,2002,15,129,0,7,2.1,,
Mtwapa & Mombasa,Barracuda,Sphyraena,2001/2002,2002,102,765,0,7,14.6,,
Kilifi,Barracuda,Sphyraena,2001/2002,2002,24,150,0,7,3.4,,
Lamu & Kiwayu,Barracuda,Sphyraena,2001/2002,2002,20,153,0,7,2.9,,
Malindi & Ngomeni,Barracuda,Sphyraena,2002/2003,2003,549,3475,0,7,78.4,,
Watamu,Barracuda,Sphyraena,2002/2003,2003,109,747,0,7,15.6,,
Shimoni,Barracuda,Sphyraena,2002/2003,2003,41,204,0,7,5.9,,
Mtwapa & Mombasa,Barracuda,Sphyraena,2002/2003,2003,63,631,0,7,9.0,,
Kilifi,Barracuda,Sphyraena,2002/2003,2003,6,17,0,7,0.9,,
Lamu & Kiwayu,Barracuda,Sphyraena,2002/2003,2003,13,62,0,7,1.9,,
Malindi & Ngomeni,Barracuda,Sphyraena,2003/2004,2004,625,3561,0,7,89.3,,
Watamu,Barracuda,Sphyraena,2003/2004,2004,128,888.9,0,7,18.3,,
Shimoni,Barracuda,Sphyraena,2003/2004,2004,25,118,0,7,3.6,,
Mtwapa & Mombasa,Barracuda,Sphyraena,2003/2004,2004,90,617.8,0,7,12.9,,
Kilifi,Barracuda,Sphyraena,2003/2004,2004,14,129,0,7,2.0,,
Lamu & Kiwayu,Barracuda,Sphyraena,2003/2004,2004,27,143,0,7,3.9,,
Malindi & Ngomeni,Barracuda,Sphyraena,2004/2005,2005,328,1742.5,0,7,46.9,,
Watamu,Barracuda,Sphyraena,2004/2005,2005,237,1672,0,7,33.9,,
Shimoni,Barracuda,Sphyraena,2004/2005,2005,12,55,0,7,1.7,,
Mtwapa & Mombasa,Barracuda,Sphyraena,2004/2005,2005,82,689,0,7,11.7,,
Kilifi,Barracuda,Sphyraena,2004/2005,2005,22,112,0,7,3.1,,
Lamu & Kiwayu,Barracuda,Sphyraena,2004/2005,2005,70,215,0,7,10.0,,
Malindi & Ngomeni,Barracuda,Sphyraena,2005/2006,2006,8,51,0,7,1.1,,
Watamu,Barracuda,Sphyraena,2005/2006,2006,64,486.5,0,7,9.1,,
Shimoni,Barracuda,Sphyraena,2005/2006,2006,8,38.7,0,7,1.1,,
Mtwapa & Mombasa,Barracuda,Sphyraena,2005/2006,2006,58,365.6,0,7,8.3,,
Kilifi,Barracuda,Sphyraena,2005/2006,2006,17,35.7,0,7,2.4,,
Lamu & Kiwayu,Barracuda,Sphyraena,2005/2006,2006,15,91,0,7,2.1,,
Malindi & Ngomeni,Barracuda,Sphyraena,2006/2007,2007,214,1346,0,7,30.6,,
Watamu,Barracuda,Sphyraena,2006/2007,2007,146,1086,0,7,20.9,,
Shimoni,Barracuda,Sphyraena,2006/2007,2007,4,20,0,7,0.6,,
Mtwapa & Mombasa,Barracuda,Sphyraena,2006/2007,2007,8,75.2,0,7,1.1,,
Kilifi,Barracuda,Sphyraena,2006/2007,2007,0,0,0,7,0.0,,
Lamu & Kiwayu,Barracuda,Sphyraena,2006/2007,2007,18,84,0,7,2.6,,
Malindi & Ngomeni,Barracuda,Sphyraena,2007/2008,2008,93,605,0,7,13.3,,
Watamu,Barracuda,Sphyraena,2007/2008,2008,83,627,0,7,11.9,,
Shimoni,Barracuda,Sphyraena,2007/2008,2008,2,9.8,0,7,0.3,,
Mtwapa & Mombasa,Barracuda,Sphyraena,2007/2008,2008,7,92,0,7,1.0,,
Kilifi,Barracuda,Sphyraena,2007/2008,2008,16,,0,7,2.3,,
Lamu & Kiwayu,Barracuda,Sphyraena,2007/2008,2008,9,63,0,7,1.3,,
Malindi & Ngomeni,Barracuda,Sphyraena,2008/2009,2009,86,473,0,7,12.3,,
Watamu,Barracuda,Sphyraena,2008/2009,2009,58,432,0,7,8.3,,
Shimoni,Barracuda,Sphyraena,2008/2009,2009,2,10,0,7,0.3,,
Mtwapa & Mombasa,Barracuda,Sphyraena,2008/2009,2009,16,118,0,7,2.3,,
Kilifi,Barracuda,Sphyraena,2008/2009,2009,5,32.5,0,7,0.7,,
Lamu & Kiwayu,Barracuda,Sphyraena,2008/2009,2009,7,0,0,7,1.0,,
Malindi & Ngomeni,Barracuda,Sphyraena,2009/2010,2010,146,995,0,7,20.9,,
