zone,fish_type,species,season,year,number_of_boated_catch,weight_in_kgs,tagged_fish,hours,cpue,released_weight_weight_boated,calculated_length,wrong_entry,average_weight,release_weight
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2007/2008,2008,58,340,0,7,8.3,,,no,5.86,0
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2008/2009,2009,787,3789,0,7,112.4,,,no,4.81,0
Watamu,Dorado,Coryphaena hippurus,2008/2009,2009,808,4314,0,7,115.4,,,no,5.34,0
Shimoni,Dorado,Coryphaena hippurus,2008/2009,2009,255,1500.5,0,7,36.4,,,no,5.88,0
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2008/2009,2009,374,1678,0,7,53.4,,,no,4.49,0
Kilifi,Dorado,Coryphaena hippurus,2008/2009,2009,61,383.6,0,7,8.7,,,no,6.29,0
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2009/2010,2010,462,2110,0,7,66,,,no,4.57,0
Watamu,Dorado,Coryphaena hippurus,2009/2010,2010,808,4314,0,7,115.4,,,no,5.34,0
Shimoni,Dorado,Coryphaena hippurus,2009/2010,2010,74,385.2,0,7,10.6,,,no,5.21,0
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2009/2010,2010,127,701,0,7,18.1,,,no,5.52,0
Kilifi,Dorado,Coryphaena hippurus,2009/2010,2010,98,567,0,7,14,,,no,5.79,0
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2009/2010,2010,96,402,0,7,13.7,,,no,4.19,0
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2010/2011,2011,462,2110,0,7,66,,,no,4.57,0
Watamu,Dorado,Coryphaena hippurus,2010/2011,2011,539,2615,0,7,77,,,no,4.85,0
Shimoni,Dorado,Coryphaena hippurus,2010/2011,2011,74,385.2,0,7,10.6,,,no,5.21,0
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2010/2011,2011,127,701,0,7,18.1,,,no,5.52,0
Kilifi,Dorado,Coryphaena hippurus,2010/2011,2011,98,567,0,7,14,,,no,5.79,0
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2010/2011,2011,96,402,0,7,13.7,,,no,4.19,0
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2011/2012,2012,476,2023,0,7,68,,,no,4.25,0
Watamu,Dorado,Coryphaena hippurus,2011/2012,2012,288,1378,0,7,41.1,,,no,4.78,0
Shimoni,Dorado,Coryphaena hippurus,2011/2012,2012,378,2194,0,7,54,,,no,5.8,0
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2011/2012,2012,82,464,0,7,11.7,,,no,5.66,0
Kilifi,Dorado,Coryphaena hippurus,2011/2012,2012,71,279,0,7,10.1,,,no,3.93,0
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2011/2012,2012,101,426,0,7,14.4,,,no,4.22,0
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2012/2013,2013,595,2210,0,7,85,,,no,3.71,0
Watamu,Dorado,Coryphaena hippurus,2012/2013,2013,355,1450,0,7,50.7,,,no,4.08,0
Shimoni,Dorado,Coryphaena hippurus,2012/2013,2013,314,1476,0,7,44.9,,,no,4.7,0
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2012/2013,2013,35,188,0,7,5,,,no,5.37,0
Kilifi,Dorado,Coryphaena hippurus,2012/2013,2013,105,353.3,0,7,15,,,no,3.36,0
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2012/2013,2013,16,89,0,7,2.3,,,no,5.56,0
Malindi & Ngomeni,Dorado,Coryphaena hippurus,2013/2014,2014,384,1723.5,0,7,54.9,,,no,4.49,0
Watamu,Dorado,Coryphaena hippurus,2013/2014,2014,299,996,0,7,42.7,,,no,3.33,0
Shimoni,Dorado,Coryphaena hippurus,2013/2014,2014,202,1292,0,7,28.9,,,no,6.4,0
Mtwapa & Mombasa,Dorado,Coryphaena hippurus,2013/2014,2014,109,252,0,7,15.6,,,no,2.31,0
Kilifi,Dorado,Coryphaena hippurus,2013/2014,2014,77,304,0,7,11,,,no,3.95,0
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2013/2014,2014,24,125,0,7,3.4,,,no,5.21,0
Watamu,Dorado,Coryphaena hippurus,2014/2015,2015,78,403,0,7,11.1,,,no,5.17,0
Shimoni,Dorado,Coryphaena hippurus,2014/2015,2015,58,535,0,7,8.3,,,no,9.22,0
Kilifi,Dorado,Coryphaena hippurus,2014/2015,2015,53,243,0,7,7.6,,,no,4.58,0
Lamu & Kiwayu,Dorado,Coryphaena hippurus,2014/2015,2015,22,109,0,7,3.1,,,no,4.95,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1990/1991,1991,51,887,0,7,7.3,,,no,17.39,0
Watamu,Giant Trevally,Caranx ignobilis,1990/1991,1991,199,3259,0,7,28.4,,,no,16.38,0
Shimoni,Giant Trevally,Caranx ignobilis,1990/1991,1991,18,119,0,7,2.6,,,no,6.61,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1990/1991,1991,10,202,0,7,1.4,,,no,20.2,0
Kilifi,Giant Trevally,Caranx ignobilis,1990/1991,1991,2,34,0,7,0.3,,,no,17,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1990/1991,1991,1,22,0,7,0.1,,,no,22,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1991/1992,1992,44,167.2,0,7,6.3,,,no,3.8,0
Watamu,Giant Trevally,Caranx ignobilis,1991/1992,1992,57,1250,0,7,8.1,,,no,21.93,0
Shimoni,Giant Trevally,Caranx ignobilis,1991/1992,1992,16,194,0,7,2.3,,,no,12.12,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1991/1992,1992,4,56,0,7,0.6,,,no,14,0
Kilifi,Giant Trevally,Caranx ignobilis,1991/1992,1992,8,52,0,7,1.1,,,no,6.5,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1991/1992,1992,21,393,0,7,3,,,no,18.71,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1992/1993,1993,47,597.4,0,7,6.7,,,no,12.71,0
Watamu,Giant Trevally,Caranx ignobilis,1992/1993,1993,101,1658,0,7,14.4,,,no,16.42,0
Shimoni,Giant Trevally,Caranx ignobilis,1992/1993,1993,34,172,0,7,4.9,,,no,5.06,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1992/1993,1993,14,148.5,0,7,2,,,no,10.61,0
Kilifi,Giant Trevally,Caranx ignobilis,1992/1993,1993,2,19,0,7,0.3,,,no,9.5,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1992/1993,1993,13,2315,0,7,1.9,,,no,178.08,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1993/1994,1994,55,1151,0,7,7.9,,,no,20.93,0
Watamu,Giant Trevally,Caranx ignobilis,1993/1994,1994,167,2721,0,7,23.9,,,no,16.29,0
Shimoni,Giant Trevally,Caranx ignobilis,1993/1994,1994,72,673.9,0,7,10.3,,,no,9.36,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1993/1994,1994,29,289.1,0,7,4.1,,,no,9.97,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1993/1994,1994,6,133,0,7,0.9,,,no,22.17,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1994/1995,1995,35,535,0,7,5,,,no,15.29,0
Watamu,Giant Trevally,Caranx ignobilis,1994/1995,1995,163,2941,1,7,23.3,,,no,18.04,18
Shimoni,Giant Trevally,Caranx ignobilis,1994/1995,1995,43,430,0,7,6.1,,,no,10,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1994/1995,1995,28,251,0,7,4,,,no,8.96,0
Kilifi,Giant Trevally,Caranx ignobilis,1994/1995,1995,9,80,0,7,1.3,,,no,8.89,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1994/1995,1995,1,27,0,7,0.1,,,no,27,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1995/1996,1996,37,551,0,7,5.3,,,no,14.89,0
Watamu,Giant Trevally,Caranx ignobilis,1995/1996,1996,132,1729,0,7,18.9,,,no,13.1,0
Shimoni,Giant Trevally,Caranx ignobilis,1995/1996,1996,63,910,0,7,9,,,no,14.44,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1995/1996,1996,43,498,0,7,6.1,,,no,11.58,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1995/1996,1996,17,144,0,7,2.4,,,no,8.47,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1996/1997,1997,56,853,0,7,8,,,no,15.23,0
Watamu,Giant Trevally,Caranx ignobilis,1996/1997,1997,136,2213,7,7,19.4,,,no,16.27,113
Shimoni,Giant Trevally,Caranx ignobilis,1996/1997,1997,30,559,0,7,4.3,,,no,18.63,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1996/1997,1997,17,197,0,7,2.4,,,no,11.59,0
Kilifi,Giant Trevally,Caranx ignobilis,1996/1997,1997,1,15,0,7,0.1,,,no,15,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1996/1997,1997,12,210,0,7,1.7,,,no,17.5,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1997/1998,1998,32,560.9,0,7,4.6,,,no,17.53,0
Watamu,Giant Trevally,Caranx ignobilis,1997/1998,1998,210,2597,65,7,30,,,no,12.37,804
Shimoni,Giant Trevally,Caranx ignobilis,1997/1998,1998,40,528.1,0,7,5.7,,,no,13.2,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1997/1998,1998,11,237.8,0,7,1.6,,,no,21.62,0
Kilifi,Giant Trevally,Caranx ignobilis,1997/1998,1998,3,36.7,0,7,0.4,,,no,12.23,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1997/1998,1998,9,84,3,7,1.3,,,no,9.33,27
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1998/1999,1999,324,5238,73,7,46.3,,,no,16.17,1180
Watamu,Giant Trevally,Caranx ignobilis,1998/1999,1999,235,2422,109,7,33.6,,,no,10.31,1123
Shimoni,Giant Trevally,Caranx ignobilis,1998/1999,1999,50,603,0,7,7.1,,,no,12.06,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1998/1999,1999,33,415,0,7,4.7,,,no,12.58,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,1998/1999,1999,8,114,0,7,1.1,,,no,14.25,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,1999/2000,2000,78,1768.8,15,7,11.1,,,no,22.68,340
Watamu,Giant Trevally,Caranx ignobilis,1999/2000,2000,53,552,0,7,7.6,,,no,10.42,0
Shimoni,Giant Trevally,Caranx ignobilis,1999/2000,2000,18,128,0,7,2.6,,,no,7.11,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,1999/2000,2000,45,213,0,7,6.4,,,no,4.73,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2000/2001,2001,53,947,6,7,7.6,,,no,17.87,107
Watamu,Giant Trevally,Caranx ignobilis,2000/2001,2001,33,309,21,7,4.7,,,no,9.36,196
Shimoni,Giant Trevally,Caranx ignobilis,2000/2001,2001,27,163,0,7,3.9,,,no,6.04,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2000/2001,2001,17,72,0,7,2.4,,,no,4.24,0
Kilifi,Giant Trevally,Caranx ignobilis,2000/2001,2001,2,8,0,7,0.3,,,no,4,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2000/2001,2001,5,28,0,7,0.7,,,no,5.6,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2001/2002,2002,72,1362,18,7,10.3,,,no,18.92,340
Watamu,Giant Trevally,Caranx ignobilis,2001/2002,2002,73,367,54,7,10.4,,,no,5.03,271
Shimoni,Giant Trevally,Caranx ignobilis,2001/2002,2002,32,258,0,7,4.6,,,no,8.06,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2001/2002,2002,18,150,0,7,2.6,,,no,8.33,0
Kilifi,Giant Trevally,Caranx ignobilis,2001/2002,2002,3,22,0,7,0.4,,,no,7.33,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2001/2002,2002,5,77,0,7,0.7,,,no,15.4,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2002/2003,2003,144,2459,98,7,20.6,,,no,17.08,1673
Watamu,Giant Trevally,Caranx ignobilis,2002/2003,2003,179,3368,137,7,25.6,,,no,18.82,2578
Shimoni,Giant Trevally,Caranx ignobilis,2002/2003,2003,22,97,0,7,3.1,,,no,4.41,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2002/2003,2003,46,372,0,7,6.6,,,no,8.09,0
Kilifi,Giant Trevally,Caranx ignobilis,2002/2003,2003,2,12,0,7,0.3,,,no,6,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2002/2003,2003,7,73,0,7,1,,,no,10.43,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2003/2004,2004,208,4190,110,7,29.7,,,no,20.14,2215
Watamu,Giant Trevally,Caranx ignobilis,2003/2004,2004,242,5573.5,190,7,34.6,,,no,23.03,4375
Shimoni,Giant Trevally,Caranx ignobilis,2003/2004,2004,10,133,0,7,1.4,,,no,13.3,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2003/2004,2004,14,148.3,0,7,2,,,no,10.59,0
Kilifi,Giant Trevally,Caranx ignobilis,2003/2004,2004,4,25,0,7,0.6,,,no,6.25,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2003/2004,2004,3,75,0,7,0.4,,,no,25,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2004/2005,2005,461,10306.2,342,7,65.9,,,no,22.36,7647
Watamu,Giant Trevally,Caranx ignobilis,2004/2005,2005,634,15708.5,523,7,90.6,,,no,24.78,12959
Shimoni,Giant Trevally,Caranx ignobilis,2004/2005,2005,3,12,0,7,0.4,,,no,4,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2004/2005,2005,29,261,1,7,4.1,,,no,9,9
Kilifi,Giant Trevally,Caranx ignobilis,2004/2005,2005,40,376,0,7,5.7,,,no,9.4,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2004/2005,2005,27,180,0,7,3.9,,,no,6.67,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2005/2006,2006,33,659,22,7,4.7,,,no,19.97,439
Watamu,Giant Trevally,Caranx ignobilis,2005/2006,2006,161,3609.5,121,7,23,,,no,22.42,2712
Shimoni,Giant Trevally,Caranx ignobilis,2005/2006,2006,10,138.1,0,7,1.4,,,no,13.81,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2005/2006,2006,47,417,0,7,6.7,,,no,8.87,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2005/2006,2006,20,83,0,7,2.9,,,no,4.15,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2006/2007,2007,323,7289.2,244,7,46.1,,,no,22.57,5507
Watamu,Giant Trevally,Caranx ignobilis,2006/2007,2007,301,6429.5,236,7,43,,,no,21.36,5040
Shimoni,Giant Trevally,Caranx ignobilis,2006/2007,2007,6,39.6,0,7,0.9,,,no,6.6,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2006/2007,2007,22,320.3,0,7,3.1,,,no,14.56,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2006/2007,2007,19,154,0,7,2.7,,,no,8.11,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2007/2008,2008,96,2141,68,7,13.7,,,no,22.3,1516
Watamu,Giant Trevally,Caranx ignobilis,2007/2008,2008,134,2681,103,7,19.1,,,no,20.01,2061
Shimoni,Giant Trevally,Caranx ignobilis,2007/2008,2008,1,7.3,0,7,0.1,,,no,7.3,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2007/2008,2008,24,255,0,7,3.4,,,no,10.62,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2007/2008,2008,10,74,0,7,1.4,,,no,7.4,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2008/2009,2009,76,1411.3,52,7,10.9,,,no,18.57,965
Watamu,Giant Trevally,Caranx ignobilis,2008/2009,2009,91,1178,65,7,13,,,no,12.95,841
Shimoni,Giant Trevally,Caranx ignobilis,2008/2009,2009,1,6,0,7,0.1,,,no,6,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2008/2009,2009,6,180,0,7,0.9,,,no,30,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2009/2010,2010,141,2011,42,7,20.1,,,no,14.26,598
Watamu,Giant Trevally,Caranx ignobilis,2009/2010,2010,91,1178,65,7,13,,,no,12.95,841
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2009/2010,2010,4,36,0,7,0.6,,,no,9,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2009/2010,2010,5,60,0,7,0.7,,,no,12,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2010/2011,2011,141,2011,42,7,20.1,,,no,14.26,598
Watamu,Giant Trevally,Caranx ignobilis,2010/2011,2011,395,3301,33,7,56.4,,,no,8.36,275
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2010/2011,2011,4,36,0,7,0.6,,,no,9,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2010/2011,2011,5,60,0,7,0.7,,,no,12,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2011/2012,2012,100,2095,71,7,14.3,,,no,20.95,1487
Watamu,Giant Trevally,Caranx ignobilis,2011/2012,2012,80,1553,40,7,11.4,,,no,19.41,776
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2011/2012,2012,9,72,0,7,1.3,,,no,8,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2011/2012,2012,22,117,0,7,3.1,,,no,5.32,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2012/2013,2013,72,1414,51,7,10.3,,,no,19.64,1001
Watamu,Giant Trevally,Caranx ignobilis,2012/2013,2013,27,419,26,7,3.9,,,no,15.52,403
Shimoni,Giant Trevally,Caranx ignobilis,2012/2013,2013,1,4.5,0,7,0.1,,,no,4.5,0
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2012/2013,2013,2,31,1,7,0.3,,,no,15.5,15
Kilifi,Giant Trevally,Caranx ignobilis,2012/2013,2013,2,12,0,7,0.3,,,no,6,0
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2012/2013,2013,21,116,0,7,3,,,no,5.52,0
Malindi & Ngomeni,Giant Trevally,Caranx ignobilis,2013/2014,2014,44,855,38,7,6.3,,,no,19.43,738
Watamu,Giant Trevally,Caranx ignobilis,2013/2014,2014,49,428,38,7,7,,,no,8.73,331
Shimoni,Giant Trevally,Caranx ignobilis,2013/2014,2014,2,70,1,7,0.3,,,no,35,35
Mtwapa & Mombasa,Giant Trevally,Caranx ignobilis,2013/2014,2014,2,20,0,7,0.3,,,no,10,0
Kilifi,Giant Trevally,Caranx ignobilis,2013/2014,2014,3,34,0,7,0.4,,,no,11.33,0
Watamu,Giant Trevally,Caranx ignobilis,2014/2015,2015,26,46,16,7,3.7,,,no,1.77,28
Lamu & Kiwayu,Giant Trevally,Caranx ignobilis,2014/2015,2015,6,14,0,7,0.9,,,no,2.33,0
Malindi & Ngomeni,Giant Trevally,Sphyrnidae,1990/1991,1991,1,38,0,7,0.1,,,no,38,0
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1990/1991,1991,2,42,0,7,0.3,,,no,21,0
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1991/1992,1992,3,97.1,0,7,0.4,,,no,32.37,0
Watamu,Hammerhead shark,Sphyrnidae,1991/1992,1992,6,319.5,0,7,0.9,,,no,53.25,0
Shimoni,Hammerhead shark,Sphyrnidae,1991/1992,1992,1,173,0,7,0.1,,,no,173,0
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1991/1992,1992,7,192,0,7,1,,,no,27.43,0
Kilifi,Hammerhead shark,Sphyrnidae,1991/1992,1992,4,203,0,7,0.6,,,no,50.75,0
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,1991/1992,1992,1,109,0,7,0.1,,,no,109,0
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1992/1993,1993,3,88.7,0,7,0.4,,,no,29.57,0
Watamu,Hammerhead shark,Sphyrnidae,1992/1993,1993,7,260,0,7,1,,,no,37.14,0
Shimoni,Hammerhead shark,Sphyrnidae,1992/1993,1993,1,160,0,7,0.1,,,no,160,0
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1992/1993,1993,3,110,0,7,0.4,,,no,36.67,0
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,1992/1993,1993,2,30,0,7,0.3,,,no,15,0
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1993/1994,1994,7,402.4,0,7,1,,,no,57.49,0
Watamu,Hammerhead shark,Sphyrnidae,1993/1994,1994,6,398.5,0,7,0.9,,,no,66.42,0
Shimoni,Hammerhead shark,Sphyrnidae,1993/1994,1994,2,192.4,0,7,0.3,,,no,96.2,0
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1993/1994,1994,2,44,0,7,0.3,,,no,22,0
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1994/1995,1995,5,139,0,7,0.7,,,no,27.8,0
Watamu,Hammerhead shark,Sphyrnidae,1994/1995,1995,8,119,0,7,1.1,,,no,14.88,0
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1994/1995,1995,3,72,0,7,0.4,,,no,24,0
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1995/1996,1996,3,110,0,7,0.4,,,no,36.67,0
Watamu,Hammerhead shark,Sphyrnidae,1995/1996,1996,6,195,2,7,0.9,,,no,32.5,65
Shimoni,Hammerhead shark,Sphyrnidae,1995/1996,1996,4,289,0,7,0.6,,,no,72.25,0
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1995/1996,1996,5,385,0,7,0.7,,,no,77,0
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1996/1997,1997,11,681,0,7,1.6,,,no,61.91,0
Watamu,Hammerhead shark,Sphyrnidae,1996/1997,1997,11,112,7,7,1.6,,,no,10.18,71
Shimoni,Hammerhead shark,Sphyrnidae,1996/1997,1997,1,273,0,7,0.1,,,no,273,0
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1996/1997,1997,6,190,1,7,0.9,,,no,31.67,31
Kilifi,Hammerhead shark,Sphyrnidae,1996/1997,1997,3,83,0,7,0.4,,,no,27.67,0
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,1996/1997,1997,1,39,0,7,0.1,,,no,39,0
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1997/1998,1998,5,109.2,1,7,0.7,,,no,21.84,21
Watamu,Hammerhead shark,Sphyrnidae,1997/1998,1998,5,142,3,7,0.7,,,no,28.4,85
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1997/1998,1998,4,96,0,7,0.6,,,no,24,0
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1998/1999,1999,1,110,0,7,0.1,,,no,110,0
Watamu,Hammerhead shark,Sphyrnidae,1998/1999,1999,4,117,1,7,0.6,,,no,29.25,29
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,1998/1999,1999,4,195,0,7,0.6,,,no,48.75,0
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,1999/2000,2000,3,175.5,0,7,0.4,,,no,58.5,0
Kilifi,Hammerhead shark,Sphyrnidae,1999/2000,2000,1,25,0,7,0.1,,,no,25,0
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,2000/2001,2001,7,386,5,7,1,,,no,55.14,275
Watamu,Hammerhead shark,Sphyrnidae,2000/2001,2001,6,150,4,7,0.9,,,no,25,100
Shimoni,Hammerhead shark,Sphyrnidae,2000/2001,2001,1,113,1,7,0.1,,,no,113,113
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,2000/2001,2001,1,25,0,7,0.1,,,no,25,0
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,2000/2001,2001,2,115,0,7,0.3,,,no,57.5,0
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,2001/2002,2002,1,20,1,7,0.1,,,no,20,20
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,2002/2003,2003,5,216,2,7,0.7,,,no,43.2,86
Watamu,Hammerhead shark,Sphyrnidae,2002/2003,2003,2,120,1,7,0.3,,,no,60,60
Shimoni,Hammerhead shark,Sphyrnidae,2002/2003,2003,1,113,1,7,0.1,,,no,113,113
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,2003/2004,2004,4,115,2,7,0.6,,,no,28.75,57
Watamu,Hammerhead shark,Sphyrnidae,2003/2004,2004,6,451,6,7,0.9,,,no,75.17,451
Mtwapa & Mombasa,Hammerhead shark,Sphyrnidae,2003/2004,2004,3,100,1,7,0.4,,,no,33.33,33
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,2004/2005,2005,4,191,3,7,0.6,,,no,47.75,143
Watamu,Hammerhead shark,Sphyrnidae,2004/2005,2005,3,80,3,7,0.4,,,no,26.67,80
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,2004/2005,2005,1,12,0,7,0.1,,,no,12,0
Watamu,Hammerhead shark,Sphyrnidae,2005/2006,2006,1,28,1,7,0.1,,,no,28,28
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,2006/2007,2007,7,244.5,5,7,1,,,no,34.93,174
Watamu,Hammerhead shark,Sphyrnidae,2006/2007,2007,7,538,6,7,1,,,no,76.86,461
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,2007/2008,2008,3,130,3,7,0.4,,,no,43.33,129
Watamu,Hammerhead shark,Sphyrnidae,2007/2008,2008,1,70,0,7,0.1,,,no,70,0
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,2008/2009,2009,1,35,1,7,0.1,,,no,35,35
Watamu,Hammerhead shark,Sphyrnidae,2008/2009,2009,2,48,2,7,0.3,,,no,24,48
Watamu,Hammerhead shark,Sphyrnidae,2009/2010,2010,2,48,2,7,0.3,,,no,24,48
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,2009/2010,2010,1,40,0,7,0.1,,,no,40,0
Lamu & Kiwayu,Hammerhead shark,Sphyrnidae,2010/2011,2011,1,40,0,7,0.1,,,no,40,0
Malindi & Ngomeni,Hammerhead shark,Sphyrnidae,2012/2013,2013,1,28,0,7,0.1,,,no,28,0
Watamu,Hammerhead shark,Sphyrnidae,2012/2013,2013,2,52,0,7,0.3,,,no,26,0
Kilifi,Hammerhead shark,Sphyrnidae,2014/2015,2015,1,100,1,7,0.1,,,no,100,100
Malindi & Ngomeni,Hammerhead shark,Scomberomorus commerson,1990/1991,1991,254,1777,0,7,36.3,,,no,7,0
Watamu,Kingfish,Scomberomorus commerson,1990/1991,1991,342,3117,0,7,48.9,,,no,9.11,0
Shimoni,Kingfish,Scomberomorus commerson,1990/1991,1991,23,137,0,7,3.3,,,no,5.96,0
Mtwapa & Mombasa,Kingfish,Scomberomorus commerson,1990/1991,1991,111,1017,0,7,15.9,,,no,9.16,0
Kilifi,Kingfish,Scomberomorus commerson,1990/1991,1991,6,50,0,7,0.9,,,no,8.33,0
Lamu & Kiwayu,Kingfish,Scomberomorus commerson,1990/1991,1991,53,302,0,7,7.6,,,no,5.7,0
